#{"t_start": 1759841860.184843, "env_id": "None"}
r,l,t
64.0,9,2.573858
-4.0,2,2.666042
47.0,12,3.079733
-163.0,33,4.052173
-100.0,21,4.73433
-82.0,19,5.32039
-371.0,75,7.363737
-8.0,3,7.562979
-94.0,22,8.331712
-20.0,6,8.51796
-8.0,3,8.672738
-12.0,4,8.795482
-124.0,46,10.21435
-95.0,21,10.847588
-4.0,2,10.986048
-28.0,8,11.186624
-50.0,11,11.553008
-12.0,4,11.722672
-20.0,6,11.982511
-46.0,10,12.275656
-46.0,10,12.707173
-58.0,13,13.198562
-371.0,75,15.454757
-4.0,2,15.517376
-4.0,2,15.579342
-371.0,75,17.6721
-62.0,14,18.21116
-4.0,2,18.427847
-81.0,39,19.564217
-29.0,7,19.810559
-4.0,2,19.918391
19.0,19,20.517742
-134.0,27,21.432106
-4.0,2,21.558749
-4.0,2,21.637503
-371.0,75,23.964977
-361.0,75,26.230315
-120.0,26,27.155538
-73.0,18,27.724767
-8.0,3,27.831847
-356.0,75,30.330966
-25.0,6,30.705512
-361.0,75,32.714088
-16.0,5,32.89779
-361.0,75,34.864911
-4.0,2,34.988009
-78.0,18,35.448031
-4.0,2,35.541724
-356.0,75,37.731078
-36.0,10,37.974678
-90.0,21,38.604943
-356.0,75,40.568371
-4.0,2,40.630459
-4.0,2,40.768228
-266.0,55,42.083162
-75.0,16,42.547212
-4.0,2,42.579102
-95.0,21,43.271782
-12.0,4,43.411557
68.0,8,43.675526
-356.0,75,45.783839
-361.0,75,48.040343
-7.0,23,48.751415
-8.0,3,48.919189
-4.0,2,48.996757
-24.0,7,49.350926
-8.0,3,49.427448
-2.0,23,50.076865
-376.0,75,52.023684
-371.0,75,54.275839
-259.0,57,56.210881
-24.0,7,56.318639
-153.0,33,57.498644
-371.0,75,59.707806
-366.0,75,61.837183
-361.0,75,64.019779
-287.0,59,75.791987
-376.0,75,78.254233
-33.0,8,78.516679
-4.0,2,78.65497
-371.0,75,80.993254
-282.0,59,82.691988
-8.0,3,82.800755
-12.0,4,83.000865
-4.0,2,83.123214
-96.0,20,83.772173
72.0,7,83.990274
-12.0,4,84.129644
-371.0,75,86.496859
-4.0,2,86.575663
-66.0,15,87.082677
-376.0,75,89.609988
-287.0,59,91.458047
-376.0,75,93.596268
-137.0,29,94.550645
-162.0,34,95.250609
-4.0,2,95.373242
-4.0,2,95.48225
-194.0,42,96.928963
-361.0,75,99.473631
-8.0,3,99.598247
-86.0,39,100.727453
-366.0,75,102.890868
-20.0,6,103.134708
-4.0,2,103.180104
-361.0,75,105.591434
-50.0,11,106.025326
-366.0,75,108.381261
-371.0,75,110.881064
-8.0,3,111.051553
-198.0,62,112.927444
-376.0,75,115.105817
-12.0,4,115.24579
-362.0,74,117.66917
-4.0,2,117.870217
-4.0,2,118.02603
-91.0,39,119.194614
64.0,9,119.487907
-356.0,75,121.801046
-356.0,75,124.023573
-376.0,75,126.221122
-4.0,2,126.296988
-4.0,2,126.403568
-8.0,3,126.495428
-4.0,2,126.572467
27.0,17,126.941606
-16.0,5,127.139017
-4.0,2,127.245182
-371.0,75,129.381077
-8.0,3,129.503829
-4.0,2,129.611466
-361.0,75,131.858287
-150.0,31,133.047261
-251.0,50,134.557044
-371.0,75,136.547018
-125.0,26,137.308421
-376.0,75,149.907785
-16.0,5,150.122746
-4.0,2,150.263031
-4.0,2,150.356916
-376.0,75,152.529979
-95.0,21,153.367169
-8.0,3,153.553422
-166.0,35,154.735748
-371.0,75,157.096335
-12.0,4,157.237534
-366.0,75,159.316061
-4.0,2,159.392883
-8.0,3,159.517481
-386.0,75,161.803896
-4.0,2,161.896058
