#{"t_start": 1759856920.2816613, "env_id": "None"}
r,l,t
0.0,66,4.25373
1.0,81,6.506777
1.0,81,8.859033
1.0,71,10.935457
2.0,85,13.9469
2.0,105,16.950279
5.0,124,20.549546
2.0,83,22.836327
0.0,52,24.452353
3.0,100,27.344103
1.0,94,30.381078
2.0,81,32.945813
1.0,81,35.657685
1.0,81,38.190345
0.0,66,40.195045
2.0,78,42.587543
0.0,59,44.328312
2.0,111,48.144433
1.0,72,50.542472
4.0,120,53.953007
2.0,99,56.822772
0.0,66,58.89608
0.0,59,60.854519
1.0,66,62.856094
1.0,82,65.365498
1.0,75,67.551122
1.0,67,69.520937
0.0,56,71.393263
0.0,66,73.554031
1.0,104,76.424011
1.0,93,79.283532
1.0,68,81.097003
1.0,81,83.392576
2.0,89,86.075202
1.0,84,88.51824
3.0,111,91.828863
0.0,66,93.547028
4.0,107,96.865161
0.0,77,99.342008
1.0,74,101.568822
0.0,66,103.57417
2.0,84,106.073283
3.0,106,109.301975
1.0,58,111.100352
0.0,66,113.118488
1.0,68,115.062374
3.0,87,117.544327
1.0,69,119.687809
0.0,67,121.640712
2.0,97,124.37227
2.0,75,144.784716
3.0,111,147.988984
1.0,81,150.295912
1.0,100,153.336899
3.0,102,156.289483
1.0,66,158.20605
2.0,98,161.261507
1.0,92,163.989611
3.0,99,166.803864
2.0,104,169.959211
1.0,69,172.01506
5.0,127,175.71473
1.0,70,178.214354
1.0,75,180.427382
1.0,91,183.134108
6.0,119,186.7402
1.0,83,189.350759
3.0,111,192.776057
2.0,99,195.777772
2.0,60,197.470199
2.0,89,200.687276
0.0,65,202.828731
2.0,97,205.639844
3.0,101,208.879485
3.0,104,212.17794
4.0,112,215.66006
1.0,81,218.040187
3.0,109,220.848457
5.0,123,224.650711
0.0,66,226.483895
0.0,66,228.321541
0.0,66,230.449346
3.0,105,233.68696
3.0,108,237.255435
0.0,66,239.157265
3.0,119,242.623728
3.0,143,247.018924
2.0,100,249.920987
1.0,85,252.446939
4.0,108,255.431981
1.0,81,258.080271
2.0,80,260.470785
1.0,81,262.903579
0.0,57,264.473088
0.0,75,266.810348
0.0,67,285.664908
3.0,109,288.93381
1.0,87,291.4937
3.0,108,294.612059
3.0,99,297.386973
1.0,68,299.604961
3.0,102,302.562676
2.0,98,305.473598
3.0,104,308.314178
1.0,81,310.836969
3.0,114,314.202036
0.0,66,316.340379
4.0,108,319.761703
5.0,114,323.277769
3.0,107,326.29784
3.0,101,329.371722
4.0,117,332.878857
5.0,123,336.479604
1.0,81,339.107274
4.0,105,342.230962
0.0,66,344.278849
5.0,126,348.024662
3.0,107,351.150466
4.0,113,354.497896
2.0,82,356.949258
1.0,66,358.756356
4.0,103,361.862341
5.0,120,365.502144
2.0,95,368.225586
5.0,113,371.582561
3.0,102,374.580133
6.0,147,379.037793
1.0,75,381.526008
4.0,118,385.49676
3.0,108,388.897936
3.0,112,392.195899
2.0,106,395.423645
3.0,102,398.441842
3.0,100,401.114973
1.0,89,403.673476
3.0,110,407.080887
2.0,101,426.355889
4.0,113,429.84202
5.0,119,433.693014
4.0,111,437.190789
1.0,87,439.744611
1.0,89,442.714175
4.0,117,446.593188
1.0,82,449.422197
3.0,124,453.389828
1.0,103,457.191014
1.0,93,459.897763
1.0,67,461.850873
5.0,113,465.32489
1.0,70,467.661624
0.0,66,469.61058
0.0,66,471.682008
5.0,109,474.931767
6.0,132,479.210165
2.0,70,481.340737
4.0,106,484.510736
2.0,103,487.858182
4.0,119,492.30522
2.0,82,495.034321
4.0,109,498.518897
3.0,107,502.167996
3.0,105,505.516652
4.0,108,509.256176
1.0,82,511.923856
2.0,82,514.541036
4.0,126,518.217465
3.0,108,521.918156
4.0,108,525.235583
3.0,103,528.50193
3.0,117,532.133077
1.0,82,534.300541
3.0,102,537.323793
1.0,72,539.7605
2.0,83,542.630422
1.0,71,544.818974
2.0,82,547.391184
5.0,117,550.821895
3.0,105,570.06548
3.0,109,573.557851
4.0,110,577.238497
